Mathematica Section,Mathematica Subsection,Mathematica Topic,Jupyter Notebook,Coverage Status,Notes
Gauge Principles,Gauge Structure and Berry Phase,Phase Ambiguities,4-1-1-gauge-transformations,COVERED,"Global phase, Born rule, unobservable"
Gauge Principles,Gauge Structure and Berry Phase,Gauge Transformation,4-1-1-gauge-transformations,COVERED,"Local gauge, covariant derivative, minimal coupling"
Gauge Principles,Gauge Structure and Berry Phase,Semiclassical Interpretation,4-1-1-gauge-transformations,COVERED,"WKB approximation, Hamilton-Jacobi, Lorentz force"
Gauge Principles,Gauge Structure and Berry Phase,Math Interlude: Lorentz Vectors,NOT FOUND,MISSING,"4-vectors, covariant formalism - not in Jupyter"
Gauge Principles,Gauge Structure and Berry Phase,Berry Phase,4-5-1-berry-phase,COVERED,"Adiabatic evolution, geometric phase"
Gauge Principles,Gauge Field and Electromagnetism,Gauge Connection,4-1-2-gauge-connection,COVERED,"Vector potential, parallel transport, Wilson loops"
Gauge Principles,Gauge Field and Electromagnetism,Gauge Curvature,NOT FOUND,MISSING,"Field strength tensor F_μν - critical gap"
Gauge Principles,Gauge Field and Electromagnetism,Charged Particle in Gauge Field,4-1-3-electromagnetic-coupling,COVERED,"Minimal coupling, Lorentz force, Hamiltonian"
Gauge Principles,Gauge Field and Electromagnetism,Aharonov-Bohm Effect,4-2-1-aharonov-bohm-effect,COVERED,"Solenoid setup, phase accumulation, interference pattern"
Uniform Magnetic Field,Classical Dynamics,Cyclotron Motion,4-3-1-cyclotron-motion,COVERED,"Equations of motion, guiding center, cyclotron frequency"
Uniform Magnetic Field,Classical Dynamics,Hall Effect,4-3-1-cyclotron-motion,COVERED,"Classical Hall effect, Hall coefficient"
Uniform Magnetic Field,Landau Level Quantization,Gauge Field,4-3-2-landau-quantization,COVERED,"Multiple gauge choices: Landau, symmetric gauge"
Uniform Magnetic Field,Landau Level Quantization,Hamiltonian,4-3-2-landau-quantization,COVERED,"Quantum Hamiltonian in magnetic field"
Uniform Magnetic Field,Landau Level Quantization,Guiding Center,4-3-2-landau-quantization,COVERED,"Guiding center coordinates, [X,Y] = iℓ_B²"
Uniform Magnetic Field,Landau Level Quantization,Annihilation and Creation Operators,4-3-2-landau-quantization,SUPERFICIAL,"Mentioned as ladder operators but not systematically developed"
Uniform Magnetic Field,Landau Level Quantization,Landau Levels,4-3-2-landau-quantization,COVERED,"Energy levels, degeneracy, magnetic length"
Uniform Magnetic Field,Landau Level Quantization,Complex Coordinate,NOT FOUND,MISSING,"z = x+iy, ψ_n(z,z̄) forms - elegant representation"
Uniform Magnetic Field,Landau Level Quantization,Wave Functions,4-3-2-landau-quantization,SUPERFICIAL,"Gaussian form shown, Hermite structure mentioned but not derived"
Uniform Magnetic Field,Quantum Hall Effect,Filling Landau Levels,4-3-3-quantum-hall-effect,SUPERFICIAL,"Filling factor ν mentioned but state counting not detailed"
Uniform Magnetic Field,Quantum Hall Effect,Charge Pumping,4-3-3-quantum-hall-effect,SUPERFICIAL,"Mentioned in linear response context but mechanism not explicit"
Uniform Magnetic Field,Quantum Hall Effect,Linear Response Theory,4-3-3-quantum-hall-effect,COVERED,"Hall conductance, conductivity tensor, topological invariant"
Spin and Monopole,Classical Spin,Angular Momentum Decomposition,4-4-1-orbital-vs-spin,COVERED,"Orbital vs spin, angular momentum coupling"
Spin and Monopole,Classical Spin,Dynamics of Spinning Axis,NOT FOUND,MISSING,"Torque τ = μ × B, precession dynamics"
Spin and Monopole,Magnetic Monopole,Electromagnetic Analogy,NOT FOUND,MISSING,"E ↔ B duality, monopole charge symmetry"
Spin and Monopole,Magnetic Monopole,Effective Gauge Field,NOT FOUND,MISSING,"Wu-Yang connection, gauge field on monopole sphere"
Spin and Monopole,Magnetic Monopole,Quantization of Spin (or Monopole),4-4-3-monopole-harmonics,SUPERFICIAL,"Dirac condition not explicitly stated as principle"
Spin and Monopole,Quantum Spin,Hamiltonian,4-4-2-dirac-monopole,COVERED,"Spin-gauge field coupling"
Spin and Monopole,Quantum Spin,Schrödinger Equation,4-4-2-dirac-monopole,COVERED,"Spin dynamics in monopole background"
Spin and Monopole,Quantum Spin,Monopole Harmonics,4-4-3-monopole-harmonics,COVERED,"Y_l,m^s(θ,φ), angular momentum eigenvalues"
Spin and Monopole,Quantum Spin,Angular Momentum,4-4-3-monopole-harmonics,COVERED,"L², L_z eigenvalues"
Spin and Monopole,Quantum Spin,Squared Angular Momentum,4-4-3-monopole-harmonics,COVERED,"L² spectrum and degeneracy"
